,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
TCGA-13-0885-01,1.0,1.7554683e-24,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.99998903,1.4502719e-09,1.0,1.0,2.0564006e-33,4.780844e-15,1.0,4.1299906e-35,1.0,0.0,1.6639032e-16,0.0,0.0,1.0,1.0,0.0,1.084935e-30,4.4035517e-28,0.0,1.0,1.0,1.9909724e-08,0.0,1.0,1.0,1.0,1.741587e-14,1.0,0.0,0.0,4.6522876e-19,3.2345816e-17,0.0,2.6799313e-07,1.0991844e-26,1.0,1.0,0.99999964,0.0,1.0,1.0,3.7947283e-33,1.0,0.03365556,0.16852796,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.9483702e-14,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8.2296e-17,1.0,6.5437356e-10,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9999094,3.824832e-15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.035288412,0.0,1.0,0.99995196,1.0,1.0,1.0,3.1007385e-17,1.0,1.0,9.6818035e-23,1.0,1.0,1.0,6.9345014e-28,1.0,0.0,1.4027479e-21,1.0,1.0
TCGA-13-0886-01,1.0,4.2116803e-24,1.0,0.0,1.0,0.0,1.0,1.3160208e-37,1.0,0.9982096,8.331515e-10,1.0,1.0,6.892623e-35,5.620432e-14,1.0,8.52215e-32,1.0,0.0,2.2881375e-18,0.0,0.0,1.0,1.0,0.0,8.7710786e-29,1.040332e-29,0.0,1.0,1.0,4.6759595e-07,0.0,1.0,1.0,1.0,2.924575e-14,1.0,0.0,0.0,3.183898e-18,2.2683164e-16,0.0,6.141782e-05,4.027104e-22,1.0,1.0,0.9999999,0.0,1.0,1.0,4.924191e-34,1.0,0.8184088,0.64755887,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0379506e-12,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.7540289e-17,1.0,4.72195e-10,1.0,1.0,0.0,1.0,0.0,0.99999917,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9998481,6.3383184e-14,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.065046,0.0,1.0,0.99939215,1.0,1.0,1.0,3.2403613e-17,1.0,1.0,2.4012758e-21,1.0,1.0,1.0,3.6121522e-26,1.0,0.0,9.097755e-21,1.0,1.0
TCGA-13-0887-01,1.0,1.4707469e-12,1.0,0.0,1.0,0.0,1.0,5.364797e-31,1.0,1.6004165e-16,0.8057805,1.0,1.0,3.311611e-35,3.1588002e-15,0.9513259,5.220291e-08,1.0,0.0,6.556903e-18,0.0,1.7525053e-38,1.0,1.0,3.8868866e-38,2.4551808e-16,4.3803488e-20,0.0,1.0,1.0,0.82238847,0.0,1.0,1.0,1.0,1.0012683e-13,1.0,0.0,0.0,1.0,1.0517543e-25,0.0,1.0,0.00016503397,1.0,1.0,1.0,0.0,1.0,1.0,2.3288462e-34,1.0,0.9999999,0.9611922,0.0,1.0,5.0749105e-31,1.0,1.0,0.0,1.0,3.255809e-19,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1063236e-14,1.0,0.0,4.2896233e-24,1.0,1.8196034e-13,1.0,1.0,0.0,1.0,3.980215e-38,1.0,2.8996799e-33,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.1951004e-24,1.0,9.0950074e-11,7.6903196e-16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.2697082e-14,1.0,1.0,1.0,1.0,1.0,0.99999976,0.99738103,1.0,0.0,6.077112e-06,1.0,1.0
TCGA-13-0888-01,1.0,5.1701787e-28,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,9.804073e-13,1.0,1.0,2.7724246e-37,7.7115214e-14,1.0,0.0,1.0,0.0,2.1004559e-20,0.0,0.0,1.0,1.0,0.0,3.4595445e-33,2.278616e-34,0.0,1.0,1.0,1.0674239e-08,0.0,1.0,1.0,1.0,3.1201133e-14,1.0,0.0,0.0,3.0046427e-30,5.875194e-14,0.0,7.655694e-08,2.3060028e-27,1.0,1.0,0.9999496,0.0,1.0,1.0,9.483252e-37,1.0,0.15251727,0.8905349,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0324603e-09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.5529827e-16,1.0,5.574227e-10,1.0,1.0,0.0,1.0,0.0,0.986932,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.499769e-15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4896107e-08,0.0,1.0,0.96237147,1.0,1.0,1.0,2.1356574e-21,1.0,1.0,2.0733604e-32,1.0,1.0,1.0,5.108754e-36,1.0,0.0,9.765645e-28,1.0,1.0
TCGA-13-0889-01,1.0,4.1527888e-27,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,9.321056e-13,1.0,1.0,2.0070596e-37,1.2835688e-13,1.0,0.0,1.0,0.0,2.626192e-21,0.0,0.0,1.0,1.0,0.0,4.7573893e-32,1.0723911e-34,0.0,1.0,1.0,1.167944e-07,0.0,1.0,1.0,1.0,7.9838574e-14,1.0,0.0,0.0,7.07488e-30,1.248118e-13,0.0,5.4973503e-07,6.596367e-25,1.0,1.0,0.9996687,0.0,1.0,1.0,2.5606916e-37,1.0,0.18301566,0.9455661,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7.4016318e-09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.5324963e-15,1.0,2.2179848e-10,1.0,1.0,0.0,1.0,0.0,0.911157,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0604324e-13,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.344582e-08,0.0,1.0,0.8831644,1.0,1.0,1.0,3.709918e-20,1.0,1.0,1.4459897e-29,1.0,1.0,1.0,8.977651e-34,1.0,0.0,6.8989646e-27,1.0,1.0
TCGA-13-0890-01,1.0,1.280418e-19,1.0,0.0,1.0,0.0,1.0,3.7352088e-35,1.0,7.2295743e-06,1.476062e-06,1.0,1.0,2.6119478e-34,2.1724149e-14,1.0,4.5002462e-21,1.0,0.0,4.9302803e-19,0.0,0.0,1.0,1.0,0.0,8.7751537e-23,1.5698198e-25,0.0,1.0,1.0,0.0025745141,0.0,1.0,1.0,1.0,3.563324e-13,1.0,0.0,0.0,1.707836e-05,2.835782e-20,0.0,0.99987304,1.9669492e-14,1.0,1.0,1.0,0.0,1.0,1.0,1.687062e-35,1.0,0.9999654,0.7557694,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.2070082e-15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.6704192e-29,1.0,0.0,9.0648836e-20,1.0,9.856972e-12,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8640012e-32,1.0,0.0077815633,3.303141e-15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.3876912e-15,1.0,1.0,5.0743074e-07,1.0,1.0,1.0,4.503132e-13,1.0,0.0,6.5722133e-15,1.0,1.0
TCGA-13-0891-01,1.0,5.439969e-26,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9999784,3.75833e-11,1.0,1.0,1.1575943e-36,2.2225337e-13,1.0,5.1400475e-37,1.0,0.0,2.0390493e-20,0.0,0.0,1.0,1.0,0.0,2.3840862e-31,5.1263118e-33,0.0,1.0,1.0,5.1077834e-08,0.0,1.0,1.0,1.0,3.8643566e-15,1.0,0.0,0.0,6.3738365e-26,3.2987668e-14,0.0,6.2150957e-07,2.694216e-24,1.0,1.0,0.9999927,0.0,1.0,1.0,5.096763e-36,1.0,0.21366799,0.84097123,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.00307804e-10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8.764007e-17,1.0,8.382182e-11,1.0,1.0,0.0,1.0,0.0,0.99883205,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999,8.97627e-14,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.706611e-05,0.0,1.0,0.9997739,1.0,1.0,1.0,1.9739118e-19,1.0,1.0,3.1352768e-26,1.0,1.0,1.0,7.066112e-31,1.0,0.0,2.235254e-24,1.0,1.0
TCGA-13-0897-01,1.0,9.405268e-19,1.0,0.0,1.0,0.0,1.0,3.969653e-35,1.0,7.0253097e-09,7.541832e-05,1.0,1.0,3.606929e-36,3.044176e-14,1.0,3.773683e-17,1.0,0.0,8.057335e-21,0.0,0.0,1.0,1.0,0.0,5.5094433e-21,1.8705174e-26,0.0,1.0,1.0,0.11939991,0.0,1.0,1.0,1.0,2.4701935e-12,1.0,0.0,0.0,0.006378652,1.7745928e-21,0.0,1.0,5.2015614e-10,1.0,1.0,1.0,0.0,1.0,1.0,1.7882239e-37,1.0,0.9999999,0.9622064,0.0,1.0,1.6936835e-36,1.0,1.0,0.0,1.0,1.6091837e-15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.100721e-25,1.0,0.0,1.1557587e-21,1.0,3.0400188e-12,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.9985463e-34,1.0,4.7024034e-05,4.2423018e-16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.468819e-15,1.0,1.0,0.035381522,1.0,1.0,1.0,1.6900346e-09,1.0,0.0,3.6453198e-14,1.0,1.0
TCGA-13-0899-01,1.0,3.610577e-21,1.0,0.0,1.0,0.0,1.0,2.7160554e-36,1.0,0.001311127,1.3871252e-07,1.0,1.0,2.6585481e-36,6.5282556e-13,1.0,2.2572338e-23,1.0,0.0,2.4562626e-20,0.0,0.0,1.0,1.0,0.0,2.4923792e-24,6.63365e-29,0.0,1.0,1.0,0.0012637357,0.0,1.0,1.0,1.0,1.0003658e-12,1.0,0.0,0.0,1.3540516e-10,2.4095101e-18,0.0,0.9999759,2.198513e-14,1.0,1.0,1.0,0.0,1.0,1.0,5.5018166e-37,1.0,0.99998856,0.95696676,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.7979105e-13,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.8684564e-31,1.0,0.0,7.867034e-19,1.0,4.29812e-11,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.41491e-37,1.0,0.73793983,1.1808038e-14,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99998665,0.0,1.0,0.99999857,1.0,1.0,1.0,1.0406722e-16,1.0,1.0,3.7202307e-11,1.0,1.0,1.0,5.0726636e-17,1.0,0.0,6.9351455e-18,1.0,1.0
TCGA-13-0903-01,1.0,2.6993335e-13,1.0,0.0,1.0,0.0,1.0,1.4680597e-30,1.0,2.1876876e-14,0.10327439,1.0,1.0,1.8494514e-34,1.151128e-13,0.99847645,6.364274e-08,1.0,0.0,1.4381964e-19,0.0,6.387306e-38,1.0,1.0,0.0,1.124022e-14,1.4098498e-22,0.0,1.0,1.0,0.84448093,0.0,1.0,1.0,1.0,3.445693e-12,1.0,0.0,0.0,0.99999976,7.4708226e-23,0.0,1.0,0.003477006,1.0,1.0,1.0,0.0,1.0,1.0,1.896164e-35,1.0,1.0,0.9839453,0.0,1.0,1.0644068e-27,1.0,1.0,3.6182412e-37,1.0,8.682017e-17,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2568732e-14,1.0,0.0,1.9030978e-21,1.0,3.3182173e-13,1.0,1.0,0.0,1.0,1.0919961e-33,1.0,4.043956e-32,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.457464e-27,1.0,4.9325726e-09,1.286845e-15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.8210926e-14,1.0,1.0,1.0,1.0,1.0,1.0,0.8143181,1.0,0.0,4.6838146e-08,1.0,1.0
